Designator,Mid X,Mid Y,Rotation,Layer
C1,65.375,-61.575,90.0,bottom
C10,61.82,-87.87,270.0,bottom
C11,51.9,-84.1,0.0,top
C12,56.2625,-84.0625,0.0,top
C13,51.9,-87.3,180.0,top
C14,51.9,-92.1,0.0,top
C2,58.35,-64.425,90.0,top
C3,56.075,-64.4,90.0,top
C4,62.6375,-67.475,0.0,bottom
C5,62.65,-65.625,0.0,bottom
C6,57.75,-62.975,0.0,bottom
C7,60.5,-57.1875,270.0,top
C8,56.2625,-89.6125,180.0,top
C9,63.89,-87.87,270.0,bottom
D1,53.225,-68.275,180.0,top
D2,65.425,-76.15,270.0,top
D3,62.525,-70.2,180.0,top
D4,57.2,-68.275,180.0,top
FB1,57.0,-60.4075,180.0,top
FB2,57.0,-91.5325,180.0,top
J1,53.5,-76.25,90.0,top
J2,59.875,-96.275,270.0,bottom
J3,59.875,-51.775,270.0,bottom
J4,52.975,-60.6,270.0,top
L1,62.9,-63.875,90.0,top
L2,62.9,-88.075,270.0,top
Q1,57.0,-57.1075,0.0,top
Q2,64.175,-57.175,0.0,top
Q3,62.575,-79.675,270.0,top
R1,57.75,-59.725,0.0,bottom
R10,62.5125,-73.6,90.0,top
R11,65.475,-79.7,270.0,top
R2,49.3375,-68.275,0.0,top
R3,57.75,-61.35,180.0,bottom
R4,57.75,-64.6,0.0,bottom
R5,65.375,-57.075,270.0,bottom
R6,63.35,-57.075,90.0,bottom
R7,51.9,-90.5,180.0,top
R8,51.9,-88.9,0.0,top
R9,51.9,-85.7,180.0,top
U1,62.5875,-62.325,270.0,bottom
U2,57.0,-86.9,0.0,top
